name;source;source_url;category;glass;instructions;ingredient;amount_ml;note
Fog Cutter;pdf24_zusammengefügt.pdf;;;Tiki Mug;Shake, strain & float. Garnish: Pineapple & cherry.;Light Rum;40;
Fog Cutter;pdf24_zusammengefügt.pdf;;;Tiki Mug;;Cognac;20;
Fog Cutter;pdf24_zusammengefügt.pdf;;;Tiki Mug;;Gin;10;
Fog Cutter;pdf24_zusammengefügt.pdf;;;Tiki Mug;;Orgeat;20;
Fog Cutter;pdf24_zusammengefügt.pdf;;;Tiki Mug;;Fresh Lime Juice;30;
Fog Cutter;pdf24_zusammengefügt.pdf;;;Tiki Mug;;Fresh Orange Juice;30;
Fog Cutter;pdf24_zusammengefügt.pdf;;;Tiki Mug;;Dry Sherry;10;float
Egg Nogg;pdf24_zusammengefügt.pdf;;;Highball;Dry shake, shake & fine strain. Garnish: grated nutmeg.;Whole Egg;;1
Egg Nogg;pdf24_zusammengefügt.pdf;;;Highball;;Water;15;
Egg Nogg;pdf24_zusammengefügt.pdf;;;Highball;;Sugar Syrup;10;
Egg Nogg;pdf24_zusammengefügt.pdf;;;Highball;;Cognac/Brandy;40;
Egg Nogg;pdf24_zusammengefügt.pdf;;;Highball;;Dark/Aged Rum;20;
Egg Nogg;pdf24_zusammengefügt.pdf;;;Highball;;Milk;80;
Tokio Iced Tea;pdf24_zusammengefügt.pdf;;;Highball;Shake, strain and top. Garnish: lemon wedge.;Vodka;20;
Tokio Iced Tea;pdf24_zusammengefügt.pdf;;;Highball;;Light Rum;20;
Tokio Iced Tea;pdf24_zusammengefügt.pdf;;;Highball;;Gin;20;
Tokio Iced Tea;pdf24_zusammengefügt.pdf;;;Highball;;Tequila;20;
Tokio Iced Tea;pdf24_zusammengefügt.pdf;;;Highball;;Melon Liqueur;20;
Tokio Iced Tea;pdf24_zusammengefügt.pdf;;;Highball;;Fresh Lemon Juice;20;
Tokio Iced Tea;pdf24_zusammengefügt.pdf;;;Highball;;Sugar Syrup;10;
Tokio Iced Tea;pdf24_zusammengefügt.pdf;;;Highball;;Sprite/Lemonade;;top
June Bug;pdf24_zusammengefügt.pdf;;;Highball;Shake and strain. Garnish: pineapple wedge.;Malibu;30;
June Bug;pdf24_zusammengefügt.pdf;;;Highball;;Melon Liqueur;20;
June Bug;pdf24_zusammengefügt.pdf;;;Highball;;Banana Liqueur;10;
